,name,link,google_maps,description
26,Miniparc Giovanni-Caboto,https://montreal.ca/lieux/miniparc-giovanni-caboto,"https://www.google.com/maps/search/?api=1&query=8995,%20rue%20L%C3%A9onard%20Montr%C3%A9al%20H1P%203N3%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
27,Miniparc Glandelet,https://montreal.ca/lieux/miniparc-glandelet,"https://www.google.com/maps/search/?api=1&query=Rue%20Glandelet%20Montr%C3%A9al%20H1R%201M3%20Qu%C3%A9bec,%20Canada",Le miniparc Glandelet est un lieu privilégié pour se détendre.
28,Miniparc Grandbois,https://montreal.ca/lieux/miniparc-grandbois,"https://www.google.com/maps/search/?api=1&query=Rue%20Grandbois%20Montr%C3%A9al%20H1R%201B1%20Qu%C3%A9bec,%20Canada",Le miniparc Grandbois est un lieu privilégié pour se détendre.
29,Miniparc Robert,https://montreal.ca/lieux/miniparc-robert,"https://www.google.com/maps/search/?api=1&query=Boulevard%20Robert%20Montr%C3%A9al%20H1R%203B1%20Qu%C3%A9bec,%20Canada",Le miniparc Robert est un lieu privilégié pour se détendre.
30,Nouveau parc riverain,https://montreal.ca/lieux/nouveau-parc-riverain,"https://www.google.com/maps/search/?api=1&query=1800,%20chemin%20des%20Iroquois%20Montr%C3%A9al%20H8S%204J5%20Qu%C3%A9bec,%20Canada","À l’été 2020, la Ville de Montréal annonçait la transformation du Port de plaisance de Lachine en nouveau parc riverain afin d’offrir à toute la population une nouvelle destination emblématique qui met en valeur les berges et le caractère insulaire de Montréal.  Participez aux activités de participation citoyenne en cours."
31,Parc 25e Avenue,https://montreal.ca/lieux/parc-25e-avenue,"https://www.google.com/maps/search/?api=1&query=25e%20Avenue%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Petit parc détente.
32,Parc 40e Avenue / 41e Avenue,https://montreal.ca/lieux/parc-40e-avenue-41e-avenue,"https://www.google.com/maps/search/?api=1&query=41e%20Avenue%20Montr%C3%A9al%20H8T%201A2%20Qu%C3%A9bec,%20Canada",Le parc 40e Avenue / 41e Avenue est également un endroit parfait pour profiter des attraits de la nature.
33,Parc Adhémar-Raynault,https://montreal.ca/lieux/parc-adhemar-raynault,"https://www.google.com/maps/search/?api=1&query=570,%20rue%20John-Easton-Mills%20Montr%C3%A9al%20H1W%201A2%20Qu%C3%A9bec,%20Canada","Le parc Adhémar-Raynault est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
34,Parc Adrien-D.-Archambault,https://montreal.ca/lieux/parc-adrien-d-archambault,"https://www.google.com/maps/search/?api=1&query=1000,%20boulevard%20de%20la%20For%C3%AAt%20Montr%C3%A9al%20H3E%201X9%20Qu%C3%A9bec,%20Canada","Le parc Adrien-D.-Archambault est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
35,Parc Ahuntsic,https://montreal.ca/lieux/parc-ahuntsic,"https://www.google.com/maps/search/?api=1&query=10555,%20rue%20Lajeunesse%20Montr%C3%A9al%20H3L%202E5%20Qu%C3%A9bec,%20Canada","Les jeux d’eau et la pataugeoire sont accessibles aux personnes handicapées. 
La pataugeoire est ouverte 7 jours sur 7, de 10 h 30 à 18 h 30. Elle sera fermée pour la saison, dimanche le 23 août à 18 h 30. "
36,Parc Aimé-Caron,https://montreal.ca/lieux/parc-aime-caron,"https://www.google.com/maps/search/?api=1&query=700,%20rue%20Muir%20Montr%C3%A9al%20H4L%205N5%20Qu%C3%A9bec,%20Canada",Le terrain de pétanque est ouvert de 6 h à 21 h.
37,Parc Aimé-Léonard,https://montreal.ca/lieux/parc-aime-leonard,"https://www.google.com/maps/search/?api=1&query=4975,%20boulevard%20Gouin%20Est%20Montr%C3%A9al%20H1G%206J9%20Qu%C3%A9bec,%20Canada",Le parc Aimé-Léonard se refait une beauté cet été!
38,Parc Albéric-Bourgeois,https://montreal.ca/lieux/parc-alberic-bourgeois,"https://www.google.com/maps/search/?api=1&query=12130,%2025e%20Avenue%20Montr%C3%A9al%20H1E%204G6%20Qu%C3%A9bec,%20Canada",Profitez des attraits de la nature ou pratiquez des loisirs en plein air.
39,Parc Albert-Gariépy,https://montreal.ca/lieux/parc-albert-gariepy,"https://www.google.com/maps/search/?api=1&query=30,%20rue%20Saint-Georges%20Montr%C3%A9al%20H8S%203C7%20Qu%C3%A9bec,%20Canada",Le parc Albert-Gariépy est un lieu privilégié pour pratiquer des activités extérieures.
40,Parc Albert-Perras,https://montreal.ca/lieux/parc-albert-perras,"https://www.google.com/maps/search/?api=1&query=Rue%20Perras%20Montr%C3%A9al%20H8N%202K7%20Qu%C3%A9bec,%20Canada",Le parc Albert-Perras est situé à l’angle des rues Perras et Jean-Chevalier.
41,Parc Albert-Saint-Martin,https://montreal.ca/lieux/parc-albert-saint-martin,"https://www.google.com/maps/search/?api=1&query=Rue%20De%20Bienville%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",
42,Parc Alexander,https://montreal.ca/lieux/parc-alexander,"https://www.google.com/maps/search/?api=1&query=14899,%20rue%20Oakwood%20Montr%C3%A9al%20H9H%201Y1%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
43,Parc Alexis-Nihon,https://montreal.ca/lieux/parc-alexis-nihon,"https://www.google.com/maps/search/?api=1&query=2999,%20rue%20Badeaux%20Saint-Laurent%20H4M%201M4%20Qu%C3%A9bec,%20Canada",Profitez des attraits de la nature ou pratiquez des loisirs en plein air!
44,Parc Alfred-Sauvé,https://montreal.ca/lieux/parc-alfred-sauve,"https://www.google.com/maps/search/?api=1&query=rue%20de%20la%20Poudri%C3%A8re%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Piste cyclable longeant le parc.
45,Parc Alice-Nolin / Claude-Gauvreau,https://montreal.ca/lieux/parc-alice-nolin-claude-gauvreau,"https://www.google.com/maps/search/?api=1&query=2634,%20rue%20Alice-Nolin%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada","Le parc Alice-Nolin / Claude-Gauvreau est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
46,Parc Alphonse-Desjardins,https://montreal.ca/lieux/parc-alphonse-desjardins,"https://www.google.com/maps/search/?api=1&query=Rue%20Bonny%20Montr%C3%A9al%20H8Y%202A9%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
47,Parc Alphonse-Télésphore-Lépine,https://montreal.ca/lieux/parc-alphonse-telesphore-lepine,"https://www.google.com/maps/search/?api=1&query=5155,%20avenue%20de%20Gasp%C3%A9%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
48,Parc Anderson,https://montreal.ca/lieux/parc-anderson,"https://www.google.com/maps/search/?api=1&query=Rue%20Fox%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
49,Parc André-Corbeil-dit-Tranchemontagne,https://montreal.ca/lieux/parc-andre-corbeil-dit-tranchemontagne,"https://www.google.com/maps/search/?api=1&query=boulevard%20Gouin%20Est/25e%20Avenue%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Profitez des attraits de la nature ou pratiquez des loisirs en plein air.
50,Parc André-Laurendeau,https://montreal.ca/lieux/parc-andre-laurendeau,"https://www.google.com/maps/search/?api=1&query=8361,%20avenue%20Andr%C3%A9-Laurendeau%20Montr%C3%A9al%20H1J%202H5%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
51,Parc Angrignon,https://montreal.ca/lieux/parc-angrignon,"https://www.google.com/maps/search/?api=1&query=3400,%20boulevard%20des%20Trinitaires%20Montr%C3%A9al%20H4E%204J3%20Qu%C3%A9bec,%20Canada","Le parc a aussi déjà abrité une petite ferme et par la suite un fort ludique pour enfants, maintenant fermés. Des travaux sont en cours. Durant la saison froide, c’est un endroit idéal pour faire de la raquette, du ski de fond ou pratiquer votre pas de patin. En savoir plus"
52,Parc Antenne Longue-Pointe,https://montreal.ca/lieux/parc-antenne-longue-pointe,,"Le parc Antenne Longue-Pointe est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
53,Parc Antoine-Pilet,https://montreal.ca/lieux/parc-antoine-pilet,"https://www.google.com/maps/search/?api=1&query=350,%20place%20Ouimet%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada","Le parc Antoine-Pilet est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
54,Parc Aquaciel,https://montreal.ca/lieux/parc-aquaciel,"https://www.google.com/maps/search/?api=1&query=707,%2075e%20Avenue%20LaSalle%20H8R%203Y2%20Qu%C3%A9bec,%20Canada",C’est un lieu privilégié pour se détendre ou profiter en famille des jeux d’eau.
55,Parc Aragon,https://montreal.ca/lieux/parc-aragon,"https://www.google.com/maps/search/?api=1&query=rue%20Sunbury%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
56,Parc Archie-Wilcox,https://montreal.ca/lieux/parc-archie-wilcox,"https://www.google.com/maps/search/?api=1&query=boulevard%20LaSalle%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Piste cyclable longeant le parc.
57,Parc Aristide-Beaugrand-Champagne,https://montreal.ca/lieux/parc-aristide-beaugrand-champagne,"https://www.google.com/maps/search/?api=1&query=1173,%20rue%20Montcalm%20Montr%C3%A9al%20H2L%203G6%20Qu%C3%A9bec,%20Canada","Le parc Aristide-Beaugrand-Champagne est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
58,Parc Armand-Bombardier,https://montreal.ca/lieux/parc-armand-bombardier,"https://www.google.com/maps/search/?api=1&query=boulevard%20Armand-Bombardier/boulevard%20Perras%20Montr%C3%A9al%20H1E%201H9%20Qu%C3%A9bec,%20Canada",Profitez des attraits de la nature ou pratiquez des loisirs en plein air.
59,Parc Arthur-Therrien,https://montreal.ca/lieux/parc-arthur-therrien,"https://www.google.com/maps/search/?api=1&query=3750,%20boulevard%20Ga%C3%A9tan-Laberge%20Montr%C3%A9al%20H4G%202A3%20Qu%C3%A9bec,%20Canada","Butte pour la glissade
Prêt gratuit de tubes."
60,Parc Athéna,https://montreal.ca/lieux/parc-athena,"https://www.google.com/maps/search/?api=1&query=557,%20rue%20Jean-Talon%20Ouest%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada","Le parc Athéna est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
61,Parc Atwater / Saint-Charles,https://montreal.ca/lieux/parc-atwater-saint-charles,,Consultez cet article pour connaître l’horaire de ce parc : COVID-19 : état des lieux et des services municipaux.
62,Parc Aubry / De Teck,https://montreal.ca/lieux/parc-aubry-de-teck,"https://www.google.com/maps/search/?api=1&query=3098,%20rue%20Aubry%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada","Le parc Aubry / De Teck est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
63,Parc Avila-Vidal,https://montreal.ca/lieux/parc-avila-vidal,"https://www.google.com/maps/search/?api=1&query=11565,%20rue%20Jean-Mass%C3%A9%20Montr%C3%A9al%20H4J%201R9%20Qu%C3%A9bec,%20Canada",Rendez-vous au parc Avila-Vidal pour profiter de la nature.
64,Parc Azellus-Denis,https://montreal.ca/lieux/parc-azellus-denis,"https://www.google.com/maps/search/?api=1&query=788,%20rue%20de%20Castelnau%20Est%20Montr%C3%A9al%20H2R%201R7%20Qu%C3%A9bec,%20Canada","Le parc Azellus-Denis est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
65,Parc Baldwin,https://montreal.ca/lieux/parc-baldwin,"https://www.google.com/maps/search/?api=1&query=4355,%20rue%20Fullum%20Montr%C3%A9al%20H2H%201N1%20Qu%C3%A9bec,%20Canada","Du 20 juin au 7 septembre inclusivement, la piscine et la pataugeoire sont ouvertes tous les jours de la semaine, de 11 h à 19 h."
66,Parc Basile-Routhier,https://montreal.ca/lieux/parc-basile-routhier,"https://www.google.com/maps/search/?api=1&query=10905,%20rue%20Basile-Routhier%20Montr%C3%A9al%20H2C%200A8%20Qu%C3%A9bec,%20Canada","Le parc Basile-Routhier est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
67,Parc Bastien-Lavigne,https://montreal.ca/lieux/parc-bastien-lavigne,"https://www.google.com/maps/search/?api=1&query=Entre%20les%20rues%20Bastien%20et%20Lavigne%20Montr%C3%A9al%20H9C%202Y2%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
68,Parc Beatty,https://montreal.ca/lieux/parc-beatty,"https://www.google.com/maps/search/?api=1&query=5650,%20boulevard%20LaSalle%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Piste cyclable traversant le parc
69,Parc Beaubien,https://montreal.ca/lieux/parc-beaubien,"https://www.google.com/maps/search/?api=1&query=6633,%206e%20Avenue%20Montr%C3%A9al%20H1Y%202X7%20Qu%C3%A9bec,%20Canada",Tennis (ouvert pour utilisation libre ou avec réservation selon l’horaire) :
70,Parc Beaubien - Outremont,https://montreal.ca/lieux/parc-beaubien-outremont,"https://www.google.com/maps/search/?api=1&query=461,%20chemin%20de%20la%20C%C3%B4te-Sainte-Catherine%20Montr%C3%A9al%20H2V%203H1%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
71,Parc Beauclerk,https://montreal.ca/lieux/parc-beauclerk,"https://www.google.com/maps/search/?api=1&query=1855,%20avenue%20%C3%89mile-Legrand%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
72,Parc Beaudet,https://montreal.ca/lieux/parc-beaudet,"https://www.google.com/maps/search/?api=1&query=650,%20boulevard%20D%C3%A9carie%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
73,Parc Beaulac,https://montreal.ca/lieux/parc-beaulac,"https://www.google.com/maps/search/?api=1&query=1145,%20rue%20Elizabeth%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada","Le parc Beaulac est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
74,Parc Beaumont-De-L'Épée,https://montreal.ca/lieux/parc-beaumont-de-lepee,"https://www.google.com/maps/search/?api=1&query=555,%20avenue%20Beaumont%20Montr%C3%A9al%20H3N%202C9%20Qu%C3%A9bec,%20Canada",Ce parc compte des aires de jeu pour les jeunes enfants
75,Parc Beausoleil,https://montreal.ca/lieux/parc-beausoleil,"https://www.google.com/maps/search/?api=1&query=Rue%20Beausoleil/rue%20Beaudoin%20Montr%C3%A9al%20H1A%204H5%20Qu%C3%A9bec,%20Canada",Profitez des attraits de la nature ou pratiquez des loisirs en plein air.
76,Parc Bélair,https://montreal.ca/lieux/parc-belair,"https://www.google.com/maps/search/?api=1&query=7035%202e%20Avenue%20Montr%C3%A9al%20H2A%203G4%20Qu%C3%A9bec,%20Canada","Le parc Bélair est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
77,Parc Bélanger,https://montreal.ca/lieux/parc-belanger,"https://www.google.com/maps/search/?api=1&query=Sur%20la%20rue%20Cardinal,%20au%20nord%20du%20boulevard%20de%20la%20C%C3%B4te-Vertu%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Le parc Bélanger est un parc de détente.
78,Parc Bélanger / De Chateaubriand,https://montreal.ca/lieux/parc-belanger-de-chateaubriand,"https://www.google.com/maps/search/?api=1&query=542,%20rue%20B%C3%A9langer%20Montr%C3%A9al%20H2S%201G4%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
79,Parc Belmont,https://montreal.ca/lieux/parc-belmont,"https://www.google.com/maps/search/?api=1&query=12624,%20rue%20Odette-Oligny%20Montr%C3%A9al%20H4J%202R4%20Qu%C3%A9bec,%20Canada","Le parc Belmont est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
80,Parc Benny,https://montreal.ca/lieux/parc-benny,,"Le parc Benny est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
81,Parc Berri-Saint-Joseph,https://montreal.ca/lieux/parc-berri-saint-joseph,"https://www.google.com/maps/search/?api=1&query=Angle%20Berri%20et%20Saint-Joseph%20Montr%C3%A9al%20H2J%201N4%20Qu%C3%A9bec,%20Canada","À proximité d’une station de métro, de plusieurs lignes d’autobus et de bornes de vélos en libre-service."
82,Parc Berthe-Louard,https://montreal.ca/lieux/parc-berthe-louard,"https://www.google.com/maps/search/?api=1&query=9355,%20avenue%20De%20Galin%C3%A9e%20Montr%C3%A9al%20H2M%202A7%20Qu%C3%A9bec,%20Canada","On y trouve une patinoire, un terrain de balle, et bien plus encore."
83,Parc Berthier,https://montreal.ca/lieux/parc-berthier,"https://www.google.com/maps/search/?api=1&query=Rue%20Berthier%20Montr%C3%A9al%20H2L%203A5%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
84,Parc Beurling,https://montreal.ca/lieux/parc-beurling,"https://www.google.com/maps/search/?api=1&query=6001,%20rue%20Beurling%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada","Nommé en mémoire du pilote de l’air de la Royal Air Force, George Frederick Beurling, aussi surnommé le « Fou volant ». Ce dernier était natif de Verdun."
85,Parc Bibeau,https://montreal.ca/lieux/parc-bibeau,"https://www.google.com/maps/search/?api=1&query=Rue%20Bibeau%20Montr%C3%A9al%20H9J%203S4%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
86,Parc Birnam,https://montreal.ca/lieux/parc-birnam,"https://www.google.com/maps/search/?api=1&query=Rue%20Birnam%20Montr%C3%A9al%20H3N%202S8%20Qu%C3%A9bec,%20Canada","Le parc Birman est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air. On y retrouve une rafraichissante aire de jeux d’eau, des balançoires et une aire de jeu pour les 2 à 5 ans."
87,Parc Blaise-Closse,https://montreal.ca/lieux/parc-blaise-closse,"https://www.google.com/maps/search/?api=1&query=Place%20Blaise%20Montr%C3%A9al%20H9C%201Y9%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
88,Parc Blanche-Lamontagne,https://montreal.ca/lieux/parc-blanche-lamontagne,"https://www.google.com/maps/search/?api=1&query=Avenue%20Casgrain%20Montr%C3%A9al%20H2P%202L1%20Qu%C3%A9bec,%20Canada","Le parc Blanche-Lamontagne est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
89,Parc Bloomfield,https://montreal.ca/lieux/parc-bloomfield,"https://www.google.com/maps/search/?api=1&query=7060%20avenue%20Bloomfield%20Montr%C3%A9al%20H3N%202G8%20Qu%C3%A9bec,%20Canada","Le parc Bloomfield est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
