review_text,label
"Dizier
Archaeological traces in and around the Maison Nivard de Saint-Dizier in western Verdun demonstrate the presence of Aboriginal people in Verdun as early as 4,000 years ago.
Verdun had its origins in as an area known as Côte des Argoulets at the foot of the Lachine Rapids. It was initially a militarized area (argoulets meaning ""sharpshooters""), with concessions given to militiamen who agreed to guard the area against an Iroquois assault on the colony of Ville-Marie. In 1671, the Sulpician Order, lords of the Island of Montreal since 1663, granted the area (now the western part of Verdun) as a fief to Major Zacharie Dupuis, chief of the Montreal militia. He is believed to have named the area after his natal village of Saverdun in southwestern France. Côte des Argoulets was renamed Côte de Verdun shortly afterward.
He then donated his land to St. Marguerite Bourgeoys, founder of the Congrégation de Notre-Dame, who in turn sold it to Étienne Nivard de Saint-Dizier in 1769. The nuns' building, now called the Maison Nivard de Saint-Dizier, still exists.
Following the Great Peace of Montreal in 1701 between the French and the Iroquois, which reduced the military threat to settlers in the southwest of the island, farmers settled the area along Lower Lachine Road, now boulevard LaSalle. Around 1800, Chemin de la Rivière-Saint-Pierre (now rue de l'Église) was opened.The Canal de l'Aqueduc, now Verdun's northwestern boundary, was dug in 1854 to furnish Montreal with drinking water from the St. Lawrence.
In 1874, a group of local land-owners met in a farmhouse called Le Pavillon, located at the corner of Lower Lachine Road and Chemin de la Rivière-Saint-Pierre, and decided to found the village of Rivière-Saint-Pierre. Chartered by the government of Quebec, it became the municipality of Verdun the following year. Settlement had been hampered due to frequent flooding, but a dyke was built starting in 1896; its completion resulted in a population boom. The dyke itself became host to Verdun's popular Boardwalk, before land reclamation in the 70s led to the expansion of the waterfront park along the whole length of Verdun's riverbank.
The first Église Notre-Dame-des-Sept-Douleurs (now part of the school of the same name) was built in 1899, followed by a combined town hall, fire hall, and police station in 1908. The tramway also arrived in 1899, connecting Verdun to downtown. A larger Église Notre-Dame-des-Sept-Douleurs was built in 1914.
In 1881, the Montreal Hospital for the Insane was founded as a Protestant counterpart to the Catholic Hôpital Saint-Jean-de-Dieu (now Hôpital Louis-H.-Lafontaine) east of the city. It would be built on two farms, purchased in 1887 and 1907, in the western end of Verdun. Affiliated with McGill University in 1946, it was renamed the Douglas Hospital in 1965.[10] Today, not only is it one of Verdun's largest public institutions, but its campus is one of the borough's most important greenspaces.
Verdun became a town in 1907 and a city in 1912. Between 1911 and 1924 the population tripled and urbanization expanded rapidly ""westward"" (according to ""Montreal directions"" - actually due southward), and the farms were divided for residential use. The Moffat area west of rue Desmarchais was built in with ""plexes""—the typical Montreal layered apartment—between 1920 and 1930,[11] and the Crawford Park area in the far west of the town was built starting in 1945, in a more suburban style unlike the orthogonal grid used in the rest of Verdun.[8] The Verdun Natatorium was built in 1930, the Verdun Hospital in 1932, and the Verdun Auditorium in 1938.
The city was chiefly (59% in 1931) English-speaking. According to historian Serge Durflinger, Verdun residents made a massive contribution to the Canadian war efforts in World War I and World War II, due to the many British immigrants living there who enthusiastically joined the Canadian armed forces.",1
Very clean well maintained.,1
Beautiful place to rest,1
"The park is nice when you live nearby, but it doesn't deserve to travel for miles to come and see it. There are a few picnic tables which is convenient afterwards there is nothing in particular to see",0
great place very relaxing,1
Beautiful park there is children's theater in summer. Sometimes.,1
Pleasant park and a nice  lake with ducks situated in centre of Montreal where you can sit by the water by reading book or having fun with family . A walk in the park for while calms your mind . very good for a walk and rent a bike to go around,1
Too interesting for children !!!,1
Beautiful park!,1
"Great view on the river and Lachapelle bridge, very nice place to relax.",1
Good place to relax,1
"Beautiful, well-maintained park for a walk or a picnic with the family",1
Beautiful ice rink,1
Small but nice,1
Lots of good free breads,1
"Nice , safe and calm for chy",1
Both summer and winter,1
Amazing!!,1
No playground!,1
Breathtaking,1
Super beautiful for walking or cycling.,1
Beautiful park,1
"Ice skating on the pond is great!
The rental shop is closed for lockdown - but the ice is still maintained regularly.",1
Beautiful park,0
Beautiful park.,1
A beautiful space but lack of light in the late evening.,0
Nice park,1
"Beautiful a definite place to walk, relax and have a day out",1
There’s a big Public swimming pool that they let you IN every hour and let you remain for 50 mins.,1
Lovely day out,0
"For the fireworks evenings around, I advise you! On the other hand, arrived early to have a good place on the edge.",1
"Super close to the old port, nice place to visit on a sunny day!",1
"Huge park with a huge pound offering many option as walking, biking, fishing, pick nicking or enjoying the beautiful landscape..",1
"Chill parc, great swimming pool",1
"I come here for 20 years from a totally wild corner, little by little the municipal planning adds to my regret the balustrades of the gravel and other modernity ... Despite this small visual pollution, the ballad is …",1
Very small park. It should qualify as someone's garden.,0
"Small park with a swingset, small playground, benches, and a bike rack.",1
"A park, its fun. You do park things. It has water. I think?",1
"Always a nice place to go during the summer. During the heat, I dipped my feet in the fountain. A very beautiful place.",1
Great park,1
"Beautiful park clean, quiet and well maintained 👍",1
Nice Park space for guy and practice tennis,1
Sliding on snow in winter.,1
Beautiful 😃,1
"If you love greenery and feel you need a quiet space in a city, this park is made just for you. The park is spacious, huge. You have many paths to discover. Above all, the users are friendly. I would definitely recommend this park to anyone who loves open spaces.

Bonus: Sunsets are just glorious.",1
Full of happiness,1
Picnic,1
No construction!,1
"One of the highlights of Rosemont, the Pelican Park is the perfect place to relax with friends, to enjoy the summer. Sheep cutters are very popular, and sporting activities are customary, with baseball and swimming in the summer, as well as an ice rink and slide in the winter. There is also a dog park. Just at the edge of the Promenades Masson, it is a very jovial and family corner.",1
"It is a beautiful park that includes a playground for children and another for toddlers. There is also a ground for basketball ball and another for the shutter, without forgetting the swimming pool. what I like most is to practice sliding during the winter on its slope which is very well known in the borough.",1
The park of my childhood,1
Great park in the neighbourhood - lovely in Winter as well as Summer!,1
"Small-ish and quiet, good place to take a break along the bike path",1
Walking on the bank of the river meadows,1
Very beautiful park,1
"Superb beach, several places to camp and relax!",1
Good for everyone,1
Beautifull place,1
Wow what a beautiful park to play with the children as well as the older ones,1
Old-fashioned lighting. Land in poor condition.,0
Fairly large park with a couple of places for skating.,1
Very good soccer field,1
Must visit park if you are living in Montreal☺️,1
A chic place to visit,1
Very large park several play areas for all tastes mm for children and the largest is mm a very large pool.,1
It ok,0
"Good good, great space, little bit expensive",1
The beautiful place,1
Very good as a park!,1
"A ping-pong table near the kiosk if you have your rackets! ... good game! / Concrete table outside, bring your pingpong rackets!",1
"Fantastic little park in Little Italy. Great for picnicking, and they have the cutest little tiny outdoor skating rink in the winter.",1
"Nice park, very clean but not very big",1
"very close to Marie Clarac, so ideal for waiting, daydreaming while waiting for my daughter when I arrived early.",1
Beautiful park. Place for the family.,1
Cool I liked it,1
The separate dog parks for smaller and larger dogs is an excellent feature,1
Nice place in spring,1
Park super bon,1
A beautiful park,1
Very relaxing.⁸,1
at the end of the island quiet place good for raising children quiet cartier,1
Nice walk to chase the blues away.,1
"It was perfect ! Not to big not to small, and they had a dog park with the pool.! Outstanding.",1
Place of freshness in summer for us city dwellers. Small woodland with the multiple colors of autumn.,1
So pretty,1
Nice place to hangout,1
Great place for multiple activities,1
Safe,1
Sweet park with many parts,1
"Beau parc longeant le fleuve
Sans service",0
"The place is refreshing despite the fact that there are too many ""senteux"" who do not say hello in passing. Bloody Montrealers who give themselves a mission by going for a walk in the ""wild jungle"" .. 🤤 * 85% for the place *",0
"I love that place, I can study very calm and relaxed 🌹",1
Very nice park‼️,1
"Splendid place Nearby are restaurants, close to the commercial area and the tourist office.",1
"Very nice place, if you come to Montreal you have to visit this place, fun fact the beaver lake doesnt have beavers.",1
Very small,0
Beautiful park to read and the pool is not very far,1
Very good with a paddling pool,1
"Nice place, sunny. It lacks calm and installation on the edge of this busy road ... It looks like a wasteland",1
Super good,1
Beautiful park but far too expensive parking,0
Very relaxing beautiful views or the lake picnic areas.miles of park area's bicycle jogging paths beach JUST LOVELY,1
I just crossed them they seem cool at first sight,0
Ideal place for nature,0
"Usually not very crowded, great place for kids aged 2 to 6",1
Always filled with kids they deffenetly have fun there.,1
Pretty icy 🤷🏾‍♀️,0
"Utilities, pleasant and charming,  Carlos-D'alcantara Park, at the base of the hill, an open pit mine, very nice landscaping, a small road for runners, a soccer field, basketball, and a climbing wall covered with pretty paintings, as well as a superb outdoor training equipment available to athletes.  For families and children,  there are three playgrounds, very fun, one for the little ones and the other for the bigger ones, with several small integrated courses. An aquatic area, for the summer, which separates the two fields. An environment where it is good to get some fresh air, and to meet new people, which is fun, when you are parents, of only child, and that your friends do not have children, it is l ideal for your little ones to socialize and have fun. So we really enjoyed getting together with the family",1
Never been,0
"Lovely park, ideal to go with friends and/or family. It's really nice, especially with the lake and tons of places where one can do picnic.",1
A pretty park in the middle of downtown. Not much happens there but it's very relaxing if you need a short break from the busy shopping area.,1
Too many mosquitoes,1
"Old baseball field, fence not high enough for some dogs, no games (and officially no toys), but the dogs are having fun with each other and the regulars are friendly.",0
Very nice park with lots of activity,1
"Near the parc is an SAQ, Metro, Ice Cream Shop which is perfect for a little picnic. A great place to chill with friends.",1
A very nice place for a calm walk,1
Nice party for Pride Montreal,1
Nice soccer/football complex. . Upgrading one of the fields summer '20.,1
Beautiful green oasis in the city's heart. Every season has sth to offer.,1
Lovely peaceful location in a residential area,1
Beautiful park.  Great for long walks alongside the water,1
"Needs help, used to be a great park, rundown",1
Nice place to relax,1
"Games for children, paddling pool in summer. Ground be soccer (not maintained unfortunately)",0
Very pleasant,1
Beautiful,1
Great playgrounds for younger and older kids,1
Amazing variety of amenities for children of all ages and for adults along with ample open space. Park security is also present.,1
Nice and clean. Kids swimming in the fountain. Lovely place to spend your summer evening.,1
It's a grad place to walk,1
I passed by,0
An extraordinary nature in the city!,1
Surf and picnic! Good spot but you have to know how to swim :),1
"Tennis, soccer, arena ... I love this park!",1
It is ok,1
Pretty calm and fun there. However there are lots of weed smokers and vapers.,1
Beautiful green space in the middle of nature. The facilities are well maintained,1
This park is overflowing with life!,1
Very busy afternoon,0
"I love bringing my children here, very spacious and clean.",1
Handsome.,1
Great place very calm and sooo beautiful.,1
"Many different activities, and the park is well maintained.",1
Very clean,1
"Nice very large park, very peacefu,l quiet and away from traffic noise place to walk in the city",1
A very nice park!!,1
You can train and run at the edge of the water.,1
Nice place to relax,1
You should visit once a month if not more.,1
The soccer field is very rough and unfortunately many dog ​​owners do not pick up their dog's droppings.,0
One of the best parks in mtl,1
Cool park alot of open space,1
"Very beautiful park! Lots of trees, benches. The games for children are very recent and very good. Several exercise stations are available to everyone. The volleyball court and the water games are also an extreme plus! Superb!",1
Great place for outdoor events and family get together,1
Great,1
Great place to relax.,1
Filled with homeless and messy,0
"There is everything for the whole family, even your dog. There is a dog park, two children's playground, a swimming pool, a running track, an exercise area for adults and more.",1
"Best park in st laurent!! I spent many summers there in the 1970's. The whale used to be a kiddy pool and water used to come out of his spout as well. Gone are the steel rocket at the corner of tasse and obrien, the swings and the dangerous slide.
It has changed much over the years but provides lots of enjoyment for all generations. Relax and enjoy it!",1
The Montreal circus show is good but not as good as the last years,0
"Great park in Montreal.  There's a pond, paths, and plenty of places to picnic and lounge.  One of the best parks in the city.",1
A very beautiful soccer park one of the most beautiful soccer park in Mtl The disadvantage is finding a parking lot,1
It was ok,0
5stars,1
"If you want to watch shirtless old men discuss their motorcycles while Ozzy Osbourne plays in the background, this is the place for you",1
"Great little piece of nature steps from the city. Though, as often when it's free, it attracts people that just don't know how to live in society.",1
great playground for kids,1
"A lot of things to do in this park, biking, skating, jogging, etc. Location is convenient, parking, library, sport center and a mall is just walking distance.",1
My everyday favorite place,1
Very good place for kids.,1
Beautiful view of downtown. Nice greenery all around.,1
Bike next to the canal,1
Here in this area you feel like you are in the Montmartre district of Paris. It's just fun to stroll here. The best way to combine your stay with a lunch or dinner in the old town. But also pure sightseeing should not …,1
"Large park with games for children, playgrounds! With the pool next door!",1
Superb!,1
Nice place,1
"Lovely park by the river, a cycling path runs through it. The view is sublime during sunset. Lots of family come here to do barbeques, cyclists need to go slowly as there's lots of kids, also, beware of ice forming in the morning during autumn and spring, it can get slippery in the 90 degree turn near the retirement home.",1
".pleasant and fairly clean place !!! There are beautiful fun modules for children to climb, slide and jump at will !!",1
We love it! The Japanese catwalk is a hit with my 2 year old daughter and even more the spot with lots of birds. We love. Noisy near the 13 but moving away c silent,1
Nice trails for hiking ir biking,1
Perfect!,1
"Beautiful painted picnic tables, quiet and pleasant supper",1
Great outdoor park,1
Perfect to see the fireworks.,1
Family,1
Beautiful place for a nice quiet walk!,1
"Very particular, the flowing water, the ducks, and. All that near my home, a quiet place to meditate on what we are in small things.",1
"Great big park in the middle of the city, with water.",1
nice spot to get away from the crowd. Good fishing and friendly locals.,1
Well except a lot of people who drink alcohol and it becomes tiring to ask for money cigarette .. the city should do a household because a beautiful park,0
Nice kids play yard with cool water fountains for hot summer days.,1
Spacious and well supplied with trees of various species Well located,1
Clean & neat,1
"Ideal for bbqs, aperitifs or sports. It's up to you 😅",1
Three times a week going there for swimming nice place nice employees,1
Interesting small park with nice trees. There's alot of pigeons and squirrels.,1
I go here,1
Beautiful Park,1
"Many activities , la Ronde, picnic electronic, casino... Worth spending the day there",1
"Located in a nice neighborhood, really family oriented and quiet if you feel like taking a simple walk or reading a book. There's a wifi connection too, it's pretty awesome.",1
"Park very poorly organized, the indications are not too clear or maps, we went round and round several times to find our way, too many closed gateways, the height the beach is not only rotten more closed in early July !!! The worst we had to park in one of the entrances not the main one is paid parking but there is no where to pay - we had to go back to the other entrance to pay. Park very poorly organized it does not deserve all the stars it had, our day was ruined would say an abandoned park. We will never go back again.",0
Nice garden place with several exotic plants and a lot of scheduled activities and art spectacles.  It also has a high-tech fully auto-cleaning smart  restroom.,1
This place is so peaceful specially near the pound. It feels cool near water and it's worth to visit if you don't like crowd. Then you should visit this parc.,1
Cute park with lots of activities for kids.,1
big river. a lot of current.,1
Beautiful,1
Beautiful and clean park,1
Nature Ornithological History.,1
Wonderful park for children. There are water games too,1
Nice view of the Rivière des Prairies and its rapids.,1
I hope whatever sorcery the team that does these urban projects use is a limitless resource.  Their spaces are unique and community focused.  Cool people hang out here - be cool.,1
"Great for training, Tennis courts lots of trees kept clean",1
"In the heart of downtown is Dorchester Square. Tourists are on this area all the time. You can find lots of great architecture, restaurants, shopping centers etc. Pictures in this part of Montreal are great. Millions of tourists come every year to Montreal. At night this area is magic.",1
Very clean and welcoming park. A great park for family activities.,1
Longueuil Christmas market,1
Nicest park in the neighborhood,1
"Lovely hikes, wonderful energy and I feel safe to walk around on my own as a woman.  Beaver lake is gorgeous and lots of room to find a beautiful reading nook and have incredible views.  Also lots of picnic tables and easy to bring kids",1
"Beautiful park with a view on the river. You can rent a kayak to enjoy some time on the water.

My only complaint is that there is a lack of park toys for younger children.",1
Very nice park,1
"Nature, nature, nature.... But why did they have to put a beton ponton with viewing platform right in the middle of nature??? Unfathomable.",1
"Super beautiful park very lively and pulley in summer. Outdoor swimming pool and paddling pool for children, youth park and dog park. Footpath for walking, jogging or running, ping pong tables in concrete and rings for hammocks. Fountains, baseball field, free wifi. Chalet with public toilets outdoor ice rink in winter",1
Idéal l'été pour voir l'ensemble de la ville Montréal et pour l'hiver glisser avec les enfants,1
We are well ...,1
Evening,1
Beautiful place ❤️,1
"A beautiful park that deserves to be another audience, far too much itinerant and toxico makes the place less attractive than it seems. The city is trying to attract atractions to make the place safer but it does not change much unfortunately",0
Was not...,1
"Beautiful place, the sound of retro vinyls matched perfectly with the atmosphere and the warmth. Beautiful facilities for landing!",1
They need to have more chairs,0
"Little parking available and people parked Taking More Space Than Needed !!!!! The lines on the ground barely visible its help not But Must Make Proof Of Civility Also In Society And Thought Of Others.Beautiful park with green space it is pleasant for spending time with family, outdoor activities bring your equipment, we can bring portable bbq, a few picnic tables, fishing on the water's edge, walk with or without our dog, as well as the bike path, several bins available, drinking trough and toilets (bring your paper of course) Lighting at night. Thank you to everyone who leaves no waste, this is greatly appreciated 🙂",1
"Nice park, a lot of activity to do, and quite accessible.",1
"Unfortunately money was all spent on a sidewalk around the park frequently empty.
BUT they cut the budget in cleaning it. Emply liquor bottles, Masks, gloves McDonald wrappers etc... This park needs constant cleaning. Many people go through this park and children play in the kiddie corner of the  park.",0
"The park is amazing. Has outstanding view to the river. You can watch the beautiful sunset. You are free to barbecue and have fun with your family. It is a good place for ridding bicycle, exercising, running, playing skate and etc. It is one of my favourite place to visit.",1
Green space for relaxation,1
Good park,1
Impressive views.  Nice open/spacious area,1
Superb park !! nothing negative to say,1
We were introduced to the game of petanque that pleasure,1
"Clean space, with benches and portable washrooms... Very nice for a family gathering...",1
Beautiful park for both children and adults,1
"Large well maintained park, able to practice social distancing. Free parking so available with a few picnic tables well spread out. A fun outing for one and all!",1
Good!,1
Nice park . Lots of activities such as movie night etc during the summer,1
Great place!,1
"Beautiful park water park
For younger kids",1
Nice place to go to play with your little ones for a little while and you can skate too.,1
So nice place for children,1
Amazing park,1
Good place to have a good time,1
Very peaceful!,1
It's a lovely place to take a walk and get some fresh air.,1
"Nice park ,has a playground .",1
Excellent for children.,1
"Nicest Basketball court in the neighbourhood. Unless you play at college level, your chances of getting some court time, during peak hours are nill.",1
"Great beach not too far from downtown Montreal. Can get fairly crowded on busy days, but still comfortable for the most part.

Water is very high right now so beach is a lot smaller than normally.",1
I do not like it for me!,0
It's small,1
"This is a gorgeous park with numerous activities for children of all ages. The children enjoyed rope bridges, mini zip lines and other climbing cubes. All the equipment is well maintained and the park is very clean.",1
A nice place during the Montréal complètement cirque festival. Take care with your belongings. Some homeless people are present in the area.,1
Great place in the summer; peaceful yet dynamic green space in the city. I wish the cafe was open all year round.,1
Beautiful place to relax and enjoy the evenings of fireworks and share a good drink with friends,1
This place is very very nice and i advise you to visit it.,1
Home of the Warriors    you want to play football this is the place to start.,1
Was Awesome,1
Cool,1
Great for skating,1
Beautiful little park with lots of seating or sitting.,1
AWESOME,1
Magnificent,1
Always a good time for all!,1
Friendly space to discover,1
Great,1
This park has it all,1
Must see!,1
My favorite park to walk around and have a quiet time.,1
"My kids are happy and I'm with them. Beautiful and spacious park. There are separate areas for yaoyun and large children. But the biggest delight is the pool for the manus. Good care, cleanliness. Nice place. Let's come",1
Nice place and the show in the evening is worth watching. Nice sound and video.,1
Small park but great views,1
I have no idea where this place is.,0
Must see for tourists at Montreal. Just another place like many others after that,0
Nice place,1
Fantastic spot for bird photography... or just to stroll and relax.,1
It's the essence of Montreal...old port,1
Very safe and user friendly.,1
Nice and very popular with families,1
nice place in the heart of the city,1
Small installation of calisthenia,1
Nice place,1
Great park,1
On the river....nice,1
Nature oasis in the heart of the city. Varied flora and fauna. Many spaces are picnics. Trails and cycle path. Site of historical value. The view of the river contributes to the feeling of being out of touch.,1
A beautiful park but it needs maintenance. You also have a ground for playing pétanque. pay attention to the sometimes full parking lot. If you are an archery enthusiast you have a club inside the park where you can practice and even rent equipment.,1
"Ideal for children, very pleasant to relax",1
Place to workout and go for a swim after,1
"Quite and comfortable park in the middle of Rosemont, great for summer picnics",1
"Nice park, but nothing new about it.",1
View of whole Montreal city is fabulous,1
very nice site to see is really very good!,1
The lounge chairs!,1
Very small park for baseball,0
"Went for a picnic in park Jean Drapeau with some friends and had a great time. We made a barbecue and the weather, accommodation and accessibility were great. I highly recommend you visiting that park when you’re in the city and looking to do something fun",1
Small urban green space allowing to dine on site since it offers picnic tables and grassy spaces.,1
"nice, but quite small park",1
"Nice big park, good for toddlers and bigger kids. Splash pad is amazing. We go regularly with the family.",1
Very nice park,1
It's so nice but after sunset there is so many mustc,1
"NDG Park is one of the better green spaces in NDG. It covers a large area and is great for people of all sorts - families, couples, groups, and individuals. If you need a quiet corner, it's easy to find and if you're looking for some socializing there are plenty of people just hanging out. Large trees, shade, well balanced with other large open areas. There's a kiddie area with plenty of swings etc. and a water playground for hot summer days. In the winter, there's an outdoor hockey rink that the city sets up.There also is an enclosed dog area that is large and dogs can roam free and play with other doggies. There's a subsection to keep the smaller dogs away from the big ones.",1
"Very nice place, relaxing and nice. Good for walkers, joggers and cyclists.",1
Great walk by the water,1
We went there to see the circus in town free. Super improvised gardens and staging. We had fun especially the little ones.,1
I love it,1
Wonderfully peaceful,1
Love this park anytime of the year,1
Populated good worlds surper great Party park Join us for a bbq,1
Very good place to share with friends ...,1
Good spot to rest your while away. There are adirondack chairs where you could snuggle up while you read a book or just take a snooze after walking around Gay Village.,1
Very pretty park,1
"Nice place to chill out in the city, calm and green in a nice district",1
A beautiful park with a passage to Jarry park so it's a good park!,1
Nice place,1
"Beautiful landscaped park not so long ago, the roads are pebbles so not great for cycling with small wheel. It is very ecological because it creates methane and heats the tohu",1
Swimming pool in summer. Great.,1
I loved my visit to this place.,1
"Nice huge parc. Well maintained. Picnic areas and picnic tables available. Grass is clean and well maintained. Lot of mature old tree, hence, lot of shadows. Easy to find parking. Take away pizza and fast food close to Rosemont/Viau entrance. If this review was helpful please don't forget to like it. Thank you and enjoy your experience.",1
It's good,0
Beautiful large park in the heart of the downtown.,1
"9$ for parking and 5$ each person, that's expensive !",0
It was okay,0
Good,1
"I can still explain the lack of attendance of this place, really to discover, with or without children depending on the time of day.",1
children's play sets are old and outdated. this park is in dire need of redevelopment to match its grandeur.,1
"A little corner of paradise in the city. Perfect for a picnic or to relax and sunbathe. Located next to the Berri Uqam metro, it is easy to get there. A small restaurant bar with a terrace allows you to have a drink. There are vegetarian options. Toilets are available on site. Several free evening activities such as salsafolie and musical 5 @ 7.",1
Very dirty,0
Perfect for relaxing,1
Very good,1
It has a fountain,1
Cool looking place but next to a highway is a bit weird placement.,0
Awesome place 4 a family picnic,1
It's pretty but a little complicated to get,0
Very good place for entertainment in the summer,1
Beautiful park 🙌🌲,1
Beautiful day in a lovely park :-)🙏,1
Beautiful and serene park in plateau mont-royal,1
"No lavender! ... Worst Saq in the region ... But, the workers are nice.",0
Beautiful walk! Easy to get lost in but all in all have to go there at least once.,1
Why are there no restaurants ☹️💔,0
3rd biggest park in Montreal. Always clean and not crowded.,1
Nice big park... lots of shade... but a lot of garbage everywhere...,0
This is a great natural area in the heart of the city - definitely worth spending some time here to relax!,1
It is a very beautiful park with a lot of activities. I recommend it to you,0
"Great place to take the kids! 2 parks, one is great for under 5 and the second one for the older kids. Water park available. Great shaded area to hide from sun. There is a wooded area as well.  great for barbecues and get togethers.  Soccer field available.",1
Magnificent,1
"Park Jarry has a lot of advantages, I will name some:
1- its central location and closeness to the Metro makes it very accessible
2- BBQ allowed with facilities like special ash and burning charcoal bins
3- many possible a activities: soccer, basketball, tennis, swimming pool, trees for slackline, ping-pong, BMX, water jets and kids playground, Ice skating, hockey, cross-country skiing, ....
4- all ages friendly from birth age till 100 years passing through all the generations including families.
5- at a multicultural node where everyone comes to relax and enjoy the green and the nature.

Park Jarry is a great value to the surrounding neighborhoods and also for the people who come from far due to its accessibility.",1
"Very good place for outing alone or with family, equipment to train are available.",1
I visited this magnificent place for this walk.,0
Nice place,1
Very good,0
A nice place to walk and jog. You can view the stunning downtown Montreal.,1
Fun times!,1
Very beautiful place The sand was very very hot and the L Ac (1 mr 8) But a little Hairy !!!,1
The most beautiful independent bookstore in the city of Montreal.,1
Nice little park in Outremont,1
Very cute,1
Beautiful but no dogs allowed,1
It is a good place to enjoy with the family. In addition this place is very close to me.,0
Don't go. I want to keep it for myself,1
It's a nice place to come with your family when the weather is nice and warm.,1
"Get vacation.in touch with nature, and see Leonard Cohen from the lookout.",1
Nice park with several spaces to sit,1
Beautiful large park. Mature trees. Beautiful fountain with statue of Jacques Cartier.,1
Very good.,1
"Beautiful  place.
Beautiful  seneary.",1
The ice is poorly maintained!,0
Cool,1
"So this was an accidental review, just adding comments a year later... didn't mean to post personal picture!!

Great park, clean and plenty of room to stretch out in winter and summer. Taught my kids to skate, snowboard, basketball, swing all in this park... also taught my dog recall off leash which is what those photos are.",1
What a great Oasis in the city. You can truly get away from it all in this park. The fountain is wonderful with all the ducks. This park has something for everyone. My only complaint are the homeless people but that is hard to control unless you want cops all around.,1
Very clean park several choices of games my children have a lot of fun.,1
It is a very nice place.,1
🐑🐩,1
Good for children,1
Beautiful area,1
Perfect for running or going with children.,1
"The municipality is making a lot of effort to bring life to the Park, however, it remains a gathering place for people in situations of homelessness. It is not uncommon to see drug transactions there, despite the large presence of police vehicles. Same thing with people who urinate in public or who bicker. This is not the kind of park where you have a good time with your children!",0
Nice park to enjoy almost all year,1
"It's a joke, the toilets are closed. Nothing else to mention.",0
"Beautiful space, familliale",1
Really love this park it is gorgeous there,1
"Awesome place to go slide with children, jist be careful of the ice ones, lots of children got hurt because of it",1
Children love to play and make likes.,0
"Personally I love this place .it's so good.there is soccer field,base ball field,ballyball field, tennis field and lot of things",1
Beautiful big park,1
Very nice park for sports activities and for had a fair playground for kids,1
"Small park near the Maisonneuve Market, nice for children, ideal for a small croissant coffee stop.",1
Cute little park. Looks like mostly young people hang out there 😂,1
Great place to chill,1
"History, not bad but you know: white pll history allways gets dark lol...killing Natives and taking their land...prepare for that kind of ish",0
On Sundays there are many people but it is very nice.,0
"Beautiful nature, I was doing UPS delivery.",1
The baseball field is great but the stands are hazardous.,0
